A (a),(ā),(eh´-ee)
academic (avademics),ak´-ə-dəm′-ik (s),åh´-kuh-deh′-mih-k (s)
/ freedoms,/ frē´- dəm(z),/ free´- duh-m(z)
academical,ak´-ə-dəm′-ik-əl,åh´-kuh-deh′-mih-kuh-l
academically,ak´-ə-dəm′-ik-əl-li (ak´-ə-dəm′-ik-li),åh´-kuh-deh′-mih-kuh-lee (åh´-kuh-deh′-mih-klee)
academician (academicians),ə-kad´-ə-mish′-ən (z),uh-kåh´-dih-mih′-shuh-n (z)
academicism,ak´-ə-dəm′-ə-siz-‘m,åh´-kuh-deh′-mih-sih-zih-m
academies,ə-kad´-ə-mēz,uh-kåh´-dih-mee-z
academy,ə-kad´-ə-mi,uh-kåh´-dih-mee
acadian,ə-kād´-i-ən,uh-keh´-ee-dee-eh-n
acajou,ak´-ə-zhōō,åh´-kuh-zhoo
acantha,ə-kan´-thə,uh-kåh´-n-thuh
acanthaceous,ak´-ən-thā′-shəs,åh´-kuh-n-theh′-ee-shuh-s
acanthi,ə-kan´-thī,uh-kåh´-n-thah-ee
acanthine,ə-kan´-thin,uh-kåh´-n-thih-n
acanthocephalan,ə-kan´-thə-səf ′-ə-lən,uh-kåh´-n-thoh-seh′-fuh-luh-n
acanthoid,ə-kan´-thoid,uh-kåh´-n-thoh-ee-d
acanthopterygian,ak´-ən-thop´-tə-rij′-i-ən,åh´-kuh-n-thah´-p-tih-rih′-jee-eh-n
acanthous (acanthus),ə-kan´-thəs,uh-kåh´-n-thuh-s
acanthuses,ə-kan´-thəs-ez,uh-kåh´-n-thuh-seh-z
a cappella,ä´ kə-pəl´-lä (ä´ kə-pəl´-lə),ah´ kuh-peh´-lah (ah´ kuh-peh´-luh)
acariasis,ak´-ə-rī ′-ə-sis,åh´-kuh-rah′-ee-uh-sih-s
acaricide,ə-kar´-ə-sīd,uh-kåh´-rih-sah-ee-d
acarid,ak´-ə-rid,åh´-kuh-rih-d
acaroid,ak´-ə-roid,åh´-kuh-roh-ee-d
acarpelous,ā-kär´-pə-ləs,eh-ee-kah´-erh-peh-luh-s
acarpous,ā-kär´-pəs,eh-ee-kah´-erh-puh-s
acarus,ak´-ə-rəs,åh´-kuh-ruh-s
acatalectic,ā-kat´-ə-lək′-tik,eh-ee-kåh´-tih-leh′-k-tih-k
acaudal,ə-kô´-dəl,uh-kaw´-duh-l
acaudate,ə-kô´-dāt,uh-kaw´-deh-ee-t
acaulescence,ak´-kô-ləs′-əns,åh´-kaw-leh′-seh-n-s
acaulescent,ak´-kô-ləs′-ənt,åh´-kaw-leh′-seh-n-t
acauline,ā-kô´-lin,eh-ee-kaw´-lih-n
acaulose,ā-kô´-lōs,eh-ee-kaw´-loh-oo-s
acaulous,ā-kô´-ləs,eh-ee-kaw´-luh-s
accede (accedes),ak-sēd´(z),åh-k-see´-d (z)
acceded,ak-sēd´-ed,åh-k-see´-deh-d
acceding,ak-sēd´-iŋ,åh-k-see´-dih-eeng
accelerando,ak-səl´-ẽr-än′-dō,åh-k-seh´-lerh-ah′-n-doh-oo
accelerant (accelerants),ak-səl´-ẽr-ənt (s),åk-seh´-lerh-eh-n-t (s)
accelerate (accelerates),ak-səl′-ẽr-āt´ (s),åk-seh′-lerh-eh´-ee-t (s)
accelerated,ak-səl′-ẽr-āt´-ed,åk-seh′-lerh-eh´-ee-teh-d
accelerating,ak-səl′-ẽr-āt´-iŋ,åk-seh′-lerh-eh´-ee-tih-eeng
acceleration,ak-səl´-ẽr-ā′-shən,åk-seh´-lerh-eh′-ee-shuh-n
accelerative,ak-səl´-ẽr-ā′-tiv,åk-seh´-lerh-eh′-ee-tih-v
acceleratively,ak-səl´-ẽr-ā′-tiv-li,åk-seh´-lerh-eh′-ee-tih-v-lee
accelerator (accelerators),ak-səl′-ẽr-ā´-tẽr (z),åk-seh′-lerh-eh´-ee-terh (z)
acceleratory,ak-səl′-ẽr-ə-tôr´-i,åk-seh′-lerh-uh-toh´-ree
accelerometer (accelerometers),ak-səl´-ẽr-om′-ə-tẽr (z),åk-seh´-lerh-ah′-mih-terh (z)
accent (accents),ak´-sənt (s),åh´-k-seh-n-t (s)
accented,ak´-sənt-ed,åh´-k-seh-n-teh-d
accenting,ak´-sənt-iŋ,åh´-k-seh-n-tih-eeng
accentual,ak-sən´-chōō-əl,åh-k-seh´-n-choo-uh-l
accentually,ak-sən´-chōō-əl-li,åh-k-seh´-n-choo-uh-lee
accentuate,ak-sən′-chōō-āt´,åh-k-seh′-n-choo-eh´-ee-t
accentuated,ak-sən′-chōō-āt´-ed,åh-k-seh′-n-choo-eh´-ee-teh-d
accentuates,ak-sən′-chōō-āts´,åh-k-seh′-n-choo-eh´-ee-ts
accentuating,ak-sən′-chōō-āt´-iŋ,åh-k-seh′-n-choo-eh´-ee-tih-eeng
accentuation,ak-sən´-chōō-ā′-shən,åh-k-seh´-n-choo-eh′-ee-shuh-n
accept (accepts),ak-səpt´ (s),åh-k-seh´-pt (s)
accepted,ak-səpt´-ed,åh-k-seh´-p-teh-d
acceptability,ak-səpt´-ə-bil′-ə-ti,åh-k-seh´-p-tuh-bih′-lih-tee
acceptable,ak-səpt´-ə-b'l,åh-k-seh´-p-tuh-bôô-l
acceptableness,ak-səpt´-ə-b'l-nes,åh-k-seh´-p-tuh-bôô-l-neh-s
acceptably,ak-səpt´-ə-b'li,åh-k-seh´-p-tuh-blee
acceptance,ak-səpt´-əns,åh-k-seh´-p-teh-n-s
acceptant,ak-səpt´-ent,åh-k-seh´-p-teh-n-t
acceptation,ak´-səp-tā′-shən,åh´-k-seh-p-teh′-ee-shuh-n
acceptedly,ak-səpt´-ed-li,åh-k-seh´-p-teh-d-lee
accepting,ak-səpt´-iŋ,åh-k-seh´-p-tih-eeng
acceptive,ak-səp´-tiv,åh-k-seh´-p-tih-v
access (accessed),ak´-səs (ak´-səsd),åh´-k-seh-s (åh´-k-seh-sd)
accesses,ak´-səs-ez,åh´-k-seh-seh-z
accessible,ak-səs´-ə-b'l,åh-k-seh´-sih-bôô-l
accessibility,ak-səs´-ə-bil′-ə-ti,åh-k-seh´-sih-bih′-lih-tee
accession,ak-səsh´-ən,åh-k-seh´-shuh-n
accessorial,ak´-sə-sôr′-i-əl,åh´-k-seh-soh′-ree-uh-l
accessorily,ak´-səs´-sə-rə-li,åh-k-seh´-soh-rih-lee
accessoriness,ak-səs´-sə-ri-nes,åh-k-seh´-soh-ree-neh-s
accessories,ak-ses´-ə-rēz,åh-k-seh´-soh-ree-z
accessorization,ak-ses´-ə-rə-zā′-shən,åh-k-seh´-soh-rih-zeh′-ee-shuh-n
accessorize (accessorized),ak-ses´-ə-rīz (d),åh-k-seh´-soh-rah-ee-z (d)
accessorizing,ak-ses´-ə-rīz-iŋ,åh-k-seh´-soh-rah-ee-zih-eeng
accessory,ak-ses´-ə-ri,åh-k-seh´-soh-ree
acciaccaturia,ä-chä´-kə-tōōr′-i-ə,ah-chah´-kuh-too′-ree-uh
accidence,ak´-sə-dəns,åh´-k-sih-deh-n-s
accident (accidents),ak´-sə-dənt (s),åh´-k-sih-deh-n-t (s)
accidental,ak´-sə-dən′-təl,åh´-k-sih-deh′-n-tuh-l
accidentally,ak´-sə-dən′-təl-li,åh´-k-sih-deh′-n-tuh-lee
accipiter,ak-sip´-ə-tẽr,åh-k-sih´-pih-terh
accipitral,ak-sip´-ə-trəl,åh-k-sih´-pih-truh-l
accipitrine,ak-sip´-ə-trin,åh-k-sih´-pih-trih-n
acclaim (acclaims),ə-klām´ (z),uh-kleh´-ee-m (z)
acclaimed,ə-klāmd´,uh-kleh´-ee-m-d
acclaiming,ə-klām´-iŋ,uh-kleh´-ee-mih-eeng
acclamation,ak´-klə-mā′-shən,åh´-kluh-meh′-ee-shuh-n
acclamatory,ə-klam′-ə-tôr´-i,uh-kåh′-muh-toh´-ree
acclimate (acclimates),ak′-lə-māt´ (s),åh′-klih-meh´-ee-t (s)
acclimated,ak′-lə-māt´-ed,åh′-klih-meh´-ee-teh-d
acclimate,ə-klī´-mit,uh-klah´-ee-mih-t
acclimating,ak′-lə-māt´-iŋ,åh′-klih-meh´-ee-tih-eeng
acclimation,ak´-lə-mā′-shən,åh´-klih-meh′-ee-shuh-n
acclimatization,ə-klī´-mə-tə-zā′-shən,uh-klah´-ee-muh-tih-zeh′-ee-shuh-n
acclimatize,ə-klī ′-mə-tīz´ (d),uh-klah′-ee-muh-tah´-ee-z (d)
acclimatized,ə-klī ′-mə-tīzd´,uh-klah′-ee-muh-tah´-ee-zd
acclimatizes,ə-klī ′-mə-tīz´-ez,uh-klah′-ee-muh-tah´-ee-zeh-z
acclimatizing,ə-klī ′-mə-tīz´-iŋ,uh-klah′-ee-muh-tah´-ee-zih-eeng
acclivities,ə-kliv´-ə-tēz,uh-klih´-vih-tee-z
acclivitous,ə-kliv´-ə-təs,uh-klih´-vih-tuh-s
acclivity,ə-kliv´-ə-ti,uh-klih´-vih-tee
acclivous,ə-klīv´-əs,uh-klah´-ee-vuh-s
accolade (accolades),ak´-ə-lād´ (z),åh´-koh-leh´-ee-d (z)
accommodate,ə-kom′-ə-dāt´,uh-kah′-muh-deh´-ee-t
accommodated,ə-kom′-ə-dāt´-ed,uh-kah′-muh-deh´-ee-teh-d
accommodates,ə-kom′-ə-dāts´,uh-kah′-muh-deh´-ee-ts
accommodating,ə-kom′-ə-dāt´-iŋ,uh-kah′-muh-deh´-ee-tih-eeng
accommodation,ə-kom´-ə-dā′-shən,uh-kah´-muh-deh′-ee-shuh-n
accommodations,ə-kom´-ə-dā′-shənz,uh-kah´-muh-deh′-ee-shuh-n-z
accommodative,ə-kom´-ə-dā′-tiv,uh-kah´-muh-deh′-ee-tih-v
accommodatively,ə-kom´-ə-dā′-tiv-li,uh-kah´-muh-deh′-ee-tih-v-lee
accompanied,ə-kum´-pə-nēd,uh-kuh´-m-puh-nee-d
accompanies,ə-kum´-pə-nēz,uh-kuh´-m-puh-nee-z
accompaniment(accompaniments),ə-kum´-pə-ni-mənt (s),uh-kuh´-puh-nee-meh-n-t (s)
accompanist (acccompanists),ə-kum´-pə-nist (s),uh-kuh´-m-puh-nih-st (s)
accompany,ə-kum´-pə-ni,uh-kuh´-m-puh-nee
accompanying,ə-kum´-pə-ni-iŋ,uh-kuh´-m-puh-nee-ih-eeng
accomplice,ə-kom´-plis,uh-kah´-m-plih-s
accomplices,ə-kom´-plis-ez,uh-kah´-m-plih-seh-z
accomplish,ə-kom´-plish,uh-kah´-m-plih-sh
accomplishable,ə-kom´-plish-ə-b’l,uh-kah´-m-plih-sh-uh-bôô-l
accomplished,ə-kom´-plishd,uh-kah´-m-plih-shd
accomplisher (accomplishers),ə-kom´-plish-ẽr (z),uh-kah´-m-plih-sherh (z)
accomplishes,ə-kom´-plish-ez,uh-kah´-m-plih-sheh-z
accomplishing,ə-kom´-plish-iŋ,uh-kah´-m-plih-shih-eeng
accomplishment,ə-kom´-plish-mənt,uh-kah´-m-plih-sh-meh-n-t
accomplishments,ə-kom´-plish-mənts,uh-kah´-m-plih-sh-meh-n-ts
accord (accords),ə-kôrd´ (z),uh-koh´-erh-d (z)
accorded,ə-kôrd´-ed,uh-koh´-erh-deh-d
accordance,ə-kôrd´-ens,uh-koh´-erh-deh-n-s
accordant,ə-kôrd´-ənt,uh-koh´-erh-deh-n-t
accordantly,ə-kôrd´-ənt-li,uh-koh´-erh-deh-n-t-lee
according,ə-kôrd´-diŋ,uh-koh´-erh-dih-eeng
accordingly,ə-kôrd´-diŋ-li,uh-koh´-erh-dih-eeng-lee
accordion (accordions),ə-kôr´-di-ən (z),uh-koh´-erh-dee-uh-n (z)
accost (accosts),ə-kôst´ (s),uh-kaw´-st (s)
accosted,ə-kôst´-ed,uh-kaw´-steh-d
accosting,ə-kôst´-iŋ,uh-kaw´-stih-eeng
accouchement,ə-kōōsh´-mänt,uh-koo´-sh-mah-n-t
accoucheur,ä -kōō-shōō´-ẽr,ah-koo-shoo´-erh
accoucheuse,ä -kōō-shōōz´,ah-koo-shoo´-z
account (accounts),ə-kount´ (s),uh-kah´-oo-n-t (s)
accountability,ə-kount´-ə-bil′-ə-ti,uh-kah´-oo-n-tih-bih′-lih-tee
accountable,ə-kount´-ə-b’l,uh-kah´-oo-n-tuh-bôô-l
accountableness,ə-kount´-ə-b’l-nes,uh-kah´-oo-n-tuh-bôô-l-neh-s
accountably,ə-kount´-ə-b’li,uh-kah´-oo-n-tuh-blee
accountancy,ə-kount´-ən-si,uh-kah´-oo-n-teh-n-see
accountant (accountants),ə-kount´-ənt (s),uh-kah´-oo-n-teh-n-t (s)
accountantship,ə-kount´-ənt-ship,uh-kah´-oo-n-teh-n-t-shih-p
accounted,ə-kount´-ed,uh-kah´-oo-n-teh-d
accounting,ə-kount´-iŋ,uh-kah´-oo-n-tih-eeng
accouter,ə-kōō´-tẽr,uh-koo´-terh
accouterment (accouterments),ə-kōō´-tẽr-mənt (s),uh-koo´-terh-meh-n-t(s)
accredit (accredits),ə-krəd´-it (s),uh-kreh´-dih-t (s)
accredited,ə-krəd´-it-ed,uh-kreh´-dih-teh-d
accreditation,ə-krəd´-i-tā′-shən,uh-kreh´-dih-teh′-ee-shuh-n
accrediting,ə-krəd´-it-iŋ,uh-kreh´-dih-tih-eeng
accrescence,ə-krəs´-əns,uh-kreh´-seh-n-s
accrescent,ə-krəs´-ənt,uh-kreh´-seh-n-t
accrete (accretes),ə-krēt´ (s),uh-kree´-t (s)
accreted,ə-krēt´-ed,uh-kree´-teh-d
accreting,ə-krēt´-iŋ,uh-kree´-tih-eeng
accretion,ə-krē´-shən,uh-kree´-shuh-n
accretive,ə-krē´-tiv,uh-kree´-tih-v
accroach,ə-krōch´,uh-kroh´-oo-ch
accroachment,ə-krōch´-mənt,uh-kroh´-oo-ch-meh-n-t
accrual (accruals),ə-krōō´-əl (z),uh-kroo´-uh-l (z)
accrue,ə-krōō´,uh-kroo´
accrued,ə-krōōd´,uh-kroo´-d
accruement,ə-krōō´-mənt,uh-kroo´-meh-n-t
accrues,ə-krōōz´,uh-kroo´-z
accruing,ə-krōō´-iŋ,uh-kroo´-ih-eeng
acculturate (acculturates),ə-kəl′-chẽr-āt´ (s),uh-kuh′-l-cherh-eh´-ee-t (s)
acculturated,ə-kəl′-chẽr-āt´-ed,uh-kuh′-l-cherh-eh´-ee-teh-d
acculturating,ə-kəl′-chẽr-āt´-iŋ,uh-kuh′-l-cherh-eh´-ee-tih-eeng
acculturation,ə-kəl´-chẽr-ā′-shən,uh-kuh´-l-cherh-eh′-ee-shuh-n
accumbency,ə-kum´-bən-si,uh-kuh´-m-beh-n-see
accumbent (accumbents),ə-kum´-bənt (s),uh-kuh´-m-beh-n-t (s)
accumulate (accumulates),ə-kūm′-ū-lāt´ (s),uh-kyoo′-m-yoo-leh´-ee-t (s)
accumulated,ə-kūm′-ū-lāt´-ed,uh-kyoo′-m-yoo-leh´-ee-teh-d
accumulating,ə-kūm′-ū-lā´-tiŋ,uh-kyoo′-m-yoo-leh´-ee-tih-eeng
accumulation (accumulations),ə-kūm´-ū-lā′-shən (z),uh-kyoo´-m-yoo-leh′-ee-shuh-n (z)
accumulative,ə-kūm′-ū-lā´-tiv (ə-kūm´-ū-lə-tiv),uh-kyoo′-m-yoo-leh´-ee-tih-v (uh-kyoo´-m-yoo-luh-tih-v)
accumulatively,ə-kūm´-ū-lā′-tiv-li,uh-kyoo´-m-yoo-leh′-ee-tih-v-lee
accumulator (accumulators),ə-kūm′-ū-lā´-tẽr (z),uh-kyoo′-m-yoo-leh´-ee-terh (z)
accuracies,ak´-ū-rə-sēz,åh´-kyoo-ruh-see-z
accuracy,ak´-ū-rə-si,åh´-kyoo-ruh-see
accurate,ak´-yũr-it,åh´-kyerh-ih-t
accurately,ak´-yũr-it-li,åh´-kyerh-ih-t-lee
accurateness,ak´-yũr-it-nes,åh´-kyerh-ih-t-neh-s
accurse,ə-kũrs´,uh-kerh´-s
accursed,ə-kũrs´-ed (ə-kũrsd´),uh-kerh´-seh-d (uh-kerh´-sd)
accursedly,ə-kũrs´-ed-li,uh-kerh´-seh-d-lee
accursedness,ə-kũrs´-ed-nes,uh-kerh´-seh-d-neh-s
accurses,ə-kũrs´-ez,uh-kerh´-seh-z
accurst,ə-kũrst´,uh-kerh´-st
accusal (accusals),ə-kūz´-əl (z),uh-kyoo´-zuh-l (z)
accusation (accusations),ak´-ū-zā′-shən (z),åh´-kyoo-zeh′-ee-shuh-n (z)
accusative,ə-kūz´-ə-tiv,uh-kyoo´-zuh-tih-v
accusatively,ə-kūz´-ə-tiv-li,uh-kyoo´-zuh-tih-v-lee
accusatorial,ə-kūz´-ə-tôr′-i-əl,uh-kyoo´-zuh-toh′-ree-uh-l
accusatory,ə-kūz′-ə-tôr´-i,uh-kyoo′-zuh-toh´-ree
accuse (accused),ə-kūz´ (ə-kūzd´),uh-kyoo´-z (uh-kyoo´-zd)
accuser (accusers),ə-kūz´-ẽr (z),uh-kyoo´-zerh (z)
accuses,ə-kūz´-ez,uh-kyoo´-zeh-z
accusing,ə-kūz´-iŋ,uh-kyoo´-zih-eeng
accusingly,ə-kūz´-iŋ-li,uh-kyoo´-zih-eeng-lee
accustom (accustoms),ə-kus´-təm (z),uh-kuh´-stuh-m (z)
accustomed,ə-kus´-təmd,uh-kuh´-stuh-m-d
accustomization,ə-kus´-təm-i-zā′-shən,uh-kuh´-stuh-mih-zeh′-ee-shuh-n.
ACDC (A.C. alternating current) (D.C. direct current),ā ´ si dē ′ si,eh´-ee see dee ′ see
ace (aces),ās (ās´-ez),eh´-ee-s (eh´-ee-seh-z)
/ in the hole,/´ in thə hōl´,/´ ih - thuh hoh´- oo- l
aced,āsd,eh´-ee-sd
acedia,ə-sē´-dē-ə,uh-see´-dee-uh
acellular,ā-sel´-ū-lẽr,eh-ee-seh´-l-yoo-lerh
acentric,ā-sən´-trik,eh-ee-seh´-n-trih-k
acephalous,ā-səf´-ə-ləs,eh-ee-seh´-fuh-luh-s
acequia,ə-sā´-kyə,uh-seh´-ee-kyuh
acerate,as′-ẽr-āt´ (as´-ẽr-it),åh′-serh-eh´-ee-t (åh´-serh-ih-t)
acerb (acerbic),ə-sũrb´ (ə-sũrb´-ik),uh-serh´-b (uh-serh´-bih-k)
acerbate (acerbates),as′-ẽr-bāt´ (s),åh′-serh-beh´-ee-t (s)
acerbated,as′-ẽr-bāt´-ed,åh′-serh-beh´-ee-teh-d
acerbating,as′-ẽr-bāt´-iŋ,åh′-serh-beh´-ee-tih-eeng
acerbity,ə-sũr´-bə-ti,uh-serh´-bih-tee
acerose,as′-ẽr-ōs´,åh′-serh-oh´-oo-s
acerous,as′-ẽr-us´,åh′-serh-uh´-s
acervate,as′-ẽr-vāt´,åh′-serh-veh´-ee-t
acervately,as′-ẽr-vāt´-li,åh′-serh-veh´-ee-t-lee
acescence,ə-səs´-əns,uh-seh´-seh-n-s
acescency,ə-səs´-ən-si,uh-seh´-seh-n-see
acescent,ə-səs´-ənt,uh-seh´-seh-n-t
acetabula,as´-ə-tab′-ū-lə,åh´-sih-tåh′-byoo-luh
acetabular,as´-ə-tab′-ū-lẽr,åh´-sih-tåh′-byoo-lerh
acetabulum,as´-ə-tab′-ū-ləm,åh´-sih-tåh′-byoo-luh-m
acetal,ə-sət´-əl,uh-seh´-tuh-l
acetaldehyde,as´-ə-tal′-də-hīd´,åh´-sih-tåh′-l-dih-hah´-ee-d
acetamide,as´-ə-tam′-īd,åh´-sih-tåh′-mah-ee-d
acetaminophen,ə-sət´-ə-min′-ə-fēn´ (fən),uh-seh´-tuh-mih′-nuh-fee´-n (feh-n)
acetanilide,as´-ə-tan′-ə-līd´,åh´-sih-tåh′-nih-lah´-ee-d
acetate (acetates),as′-ə-tāt´(s),åh′-sih-teh´-ee-t (s)
acetic (acid),ə-sē´-tik (ə-sət´-ik) (as´-id),uh-see´-tih-k (uh-seh´-tih-k) (åh´-sih-d)
acetification,ə-sət´-ə-fə-kā′-shən,uh-seh´-tih-fih-keh′-ee-shuh-n
acetifier,ə-sət′-ə-f ī´-ẽr,uh-seh′-tih-fah´-ee-erh
acetifies,ə-sət′-ə-f īz´,uh-seh′-tih-fah´-ee -z
acetify,ə-sət′-ə-f ī´,uh-seh′-tih-fah´-ee
acetifying,ə-sət′-ə-f ī´-iŋ,uh-seh′-tih-fah´-ee-ih-eeng
acetimeter,as´-ə-tim′-ə-tẽr,åh´-sih-tih′-mih-terh
acetometer,as´-ə-tom′-ə-tẽr,åh´-sih-tah′-mih-terh
acetone,as′-ə-tōn´,åh′-sih-toh´-oo-n
acetonic,as´-ə-tōn′-ik,åh´-sih-toh′-oo-nih-k
acetophenetidin,as´-ə-tō-fə-nət′-ə-din,åh´-sih-toh-oo-fih-neh′-tih-dih-n
acetose (acetous),as′-ə-tōs´ (as´-ə-təs),åh′-sih-toh´-oo-s (åh´-sih-tuh-s)
acetyl,ə-sē´-til,uh-see´-tih-l
acetylate (acetylates),ə-sət′-ə-lāt´ (s),uh-seh′-tih-leh´-ee-t (s)
acetylated,ə-sət′-ə-lāt´-ed,uh-seh′-tih-leh´-ee-teh-d
acetylating,ə-sət′-ə-lāt´-iŋ,uh-seh′-tih-leh´-ee-tih-eeng
acetylcholine,ə-sē´-til-kō′-lēn,uh-see´-tih-l-koh′-oo-lee-n
acetylene,ə-sət´-ə-lēn´,uh-seh´-tih-lee´-n
acetylic,ə-sē´-til-ik,uh-see´-tih-lih-k
acetylsalicylic (acid),ə-sē´-til-sal´-ə-sil′-ik (as´-id),uh-see´-tih-l-såh´-lih-sih′-lih-k (åh´-sih-d)
Achaeans (anchient),ə-kē´-ənz,uh-kee´-eh-n-z
ache (aches),āk (s),eh´-ee-k (s)
ached,ākd,eh´-ee-kd
achene,ā-kēn´,eh-ee-kee´-n
Achernar,ak′-ẽr-när,åh′-kerh-nah´-erh
acheron,ak′-ə-ron,åh′-kih-rah´-n
achier,ā´-ki-ẽr,eh´-ee-kee-erh
achiest,ā´-ki-əst,eh´-ee-kee-eh-st
achievable,ə-chēv´-ə-b’l,uh-chee´-vuh-bôô-l
achieve (achieves),ə-chēv´(z),uh-chee´-v (z)
achieved,ə-chēvd´,uh-chee´-vd
achievement (achievements),ə-chēv´-ment (s),uh-chee´-v-meh-n-t(s)
achiever (achievers),ə-chēv´-ẽr (z),uh-chee´-verh (z)
achieving,ə-chēv´-iŋ,uh-chee´-vih-eeng
achillean,ak´-ə-lē′-ən,åh´-kih-lee′-eh-n
achilles,ə-kil´-ēz,uh-kih´-lee-z
/ heel ( tendon),/ hēl ( tən´- dən),/ hee´ - l ( teh´- n- duh- n)
achiness,ā´-ki-nes,eh´-ee-kee-neh-s
aching,āk´-iŋ,eh´-ee-kih-eeng
oh my / back,ō´ mī / bak´,oh´- oo mah- ee / båh´- k
achlamydate,ā-klam′-ə-dāt´(dit),eh-ee-klåh′-mih-deh´-ee-t(dih-t)
achlamydeous,ak´-lə-mid′-i-əs,åh´-kluh-mih′-dee-uh-s
achlorhydria,ā´-klôr-hī′-dri-ə,eh´-ee-kloh-erh-hah′-ee-dree-uh
achondroplasia,ā-kon´-drə-plā′-zhə,eh-ee-kah´-n-droh-pleh′-ee-zhuh
achromatic,ak´-rə-mat′-ik,åh´-kroh-måh′-tih-k
achromatically,ak´-rə-mat′-ik-əl-li (kli),åh´-kroh-måh′-tih-kuh-lee (klee)
achromaticity,ak´-rō-mə-tis′-i-ti,åh´-kroh-oo-muh-tih′-sih-tee
achromatin,ā-krō´-mə-tin,eh-ee-kroh´-oo-muh-tih-n
achromatism,ā-krō′-mə-tiz´-‘m,eh-ee-kroh′-oo-muh-tih´-zih-m
achromatize (achromatized),ā-krō′-mə-tīz´(d),eh-ee-kroh′-oo-muh-tah´-ee-z(d)
achromatous,ā-krō´-mə-təs,eh-ee-kroh´-oo-muh-tuh-s
achoo,ə-chōō´,uh-choo´
achy,ā´-ki,eh´-ee-kee
acicula (aciculae),ə-sik´-ū-lə (ə-sik´-ū-lā),uh-sih´-kyoo-luh (uh-sih´-kyoo-leh-ee)
acicular,ə-sik´-ū-lär,uh-sih´-kyoo-lah-erh
acicularly,ə-sik´-ū-lär-li,uh-sih´-kyoo-lah-erh-lee
aciculate,ə-sik´-ū-lit (lāt´),uh-sih´-kyuh-lih-t (leh´-ee-t)
acid (acids),as´-id (z),åh´-sih-d (z)
/ tests,/ təst(s),/ teh-st(s)
acidanthera,as´-ə-dan′-thêr-ə,åh´-sih-dåh′-n-thih-ruh
acidic,ə-sid´-ik,uh-sih´-dih-k
acidifiable,ə-sid´-i-fī ′-ə-b’l,uh-sih´-dih-fah′-ee-uh-bôô-l
acidification,ə-sid´-i-fə-kā′-shən,uh-sih´-dih-fih-keh′-ee-shuh-n
acidified,ə-sid′-i-fīd´,uh-sih′-dih-fah´-ee-d
acidifier (acidifiers),ə-sid′-i-fī´-ẽr (z),uh-sih′-dih-fah´-ee-erh (z)
acidifies (acidify),ə-sid′-i-fīz´ (ə-sid′-i-fī´),uh-sih′-dih-fah´-ee-z (uh-sih′-dih-fah´-ee)
acidifying,ə-sid′-i-fī´-iŋ,uh-sih′-dih-fah´-ee-ih-eeng
acidimeter,as´-ə-dim′-ə-tẽr,åh´-sih-dih′-mih-terh
acidity,a-sid´-ə-ti,åh-sih´-dih-tee
acidophile,as′-ə-də-fīl´ (ə-sid′-ə-fīl´),åh′-sih-doh-fah´-ee-l (uh-sih′-duh-fah´-ee-l)
acidophilic,as´-ə-dō-fil′-ik,åh´-sih-doh-oo-fih′-lih-k
acidophilus,as´-ə-dof ′-ə-ləs,åh´-sih-dah′-fih-luh-s
acidosis,as-ə-dō´-sis,åh-sih-doh´-oo-sih-s
acidulate (acidulates),a-sij′-ū-lāt´ (s),åh-sih′-joo-leh´-ee-t (s)
acidulated,a-sij′-ū-lāt´-ed,åh-sih′-joo-leh´-ee-teh-d
acidulating,a-sij′-ū-lāt´-iŋ,åh-sih′-joo-leh´-ee-tih-eeng
acidulent,a-sij′-ū-lənt,åh-sih´-joo-leh-n-t
acidulous (acidulously),a-sij′-ū-ləs (a-sij′-ū-ləs-li),åh-sih´-joo-luh-s (åh-sih´-joo-luh-s-lee)
acierate,as´-i-ə-rāt,åh´-see-ih-reh-ee-t
aciform,as′-ə-fôrm´,åh′-sih-foh´-erh-m
acinaceous,as´-ə-nā′-shəs,åh´-sih-neh′-ee-shuh-s
acinarious,as´-ə-nâr′-i-əs,åh´-sih-neh′-ree-uh-s
aciniform,ə-sin′-ə-fôrm´,åh-sih′-nih-foh´-erh-m
acinaciform,as´-ə-nas′-ə-fôrm´,åh´-sih-nåh′-sih-foh´-erh-m
acing,ās´-iŋ,eh´-ee-sih-eeng
acini,as´-ə-nī,åh´-sih-nah-ee
acinose,as′-ə-nōs´,åh′-sih-noh´-oo-s
acinous (acinus),as´-ə-nəs,åh´-sih-nuh-s
ack ack,ak ak,åh´-k åh´-k
acknowledge (acknowledged),ak-nol´-ij (ak-nol´-ijd),åh-k-nah´-lih-j (åh-k-nah´-lih-jd)
acknowledgeable,ak-nol´-ij-ə-b’l,åh-k-nah´-lih-j-uh-bôô-l
acknowledger (acknolwledgers),ak-nol´-ij-ẽr (z),åh-k-nah´-lih-jerh (z)
acknowledges,ak-nol´-ij-ez,åh-k-nah´-lih-jeh-z
acknowledging,ak-nol´-ij-iŋ,åh-k-nah´-lih-jih-eeng
acknowledgement (acknowledgements),ak-nol´-ij-mənt (s),åh-k-nah´-lih-j-meh-n-t (s)
aclinic,ā-klin´-ik,eh-ee-klih´-nih-k
ACLU (American Civil Liberties Union),ā si əl ū′,eh-ee see eh-l yoo
acme,ak´-mi,åh´-k-mee
acne (acned),ak´-ni (ak´-nēd),åh´-k-nee (åh´-k-nee-d)
